,firm_name,crno,brno,ticker
201,TKG휴켐스,1101112611906.0,201-81-76228,069260
202,비츠로셀,1101110548771.0,311-81-01999,082920
203,코미코,1346110062393.0,125-86-14826,183300
204,동성화인텍,1101110404361.0,214-81-08385,033500
205,큐리옥스바이오시스템즈,1101116865103.0,523-81-01156,445680
206,HLB생명과학,1101111568885.0,116-81-69278,067630
207,태웅,1801110073922.0,603-81-16009,044490
208,현대바이오,1344110015693.0,126-81-45614,048410
209,한국단자,1201110002957.0,139-81-13632,025540
210,율촌화학,1101110145147.0,118-81-01288,008730
211,현대힘스,2301110143443.0,620-81-30928,460930
212,대한유화,1101110024698.0,104-81-06794,006650
213,일동제약,1101116139277.0,803-88-00431,249420
214,LF,1101113555187.0,211-87-87724,093050
215,아이에스동서,1101110208383.0,211-86-31577,010780
216,우리기술,1101111118656.0,112-81-38619,032820
217,KG스틸,1101110393308.0,120-81-42676,016380
218,제룡전기,1101110513633.0,219-81-09069,033100
219,시노펙스,1746110004644.0,506-81-03805,025320
220,금양,1801110003101.0,606-81-04711,001570
221,한국쉘석유,1801110002591.0,617-81-00016,002960
222,휴메딕스,1101112727141.0,204-81-76343,200670
223,애경케미칼,1101114951243.0,113-86-63305,161000
224,세진중공업,2301110060126.0,610-81-37716,075580
225,일진하이솔루스,2101110086548.0,402-81-98956,271940
226,카프로,1101110111825.0,101-81-24186,006380
227,넥센타이어,1101110014219.0,621-81-10769,002350
228,지엔씨에너지,1101110952055.0,107-81-42450,119850
229,피에스케이,1348110493354.0,150-88-01336,319660
230,파두,1101115767269.0,390-87-00132,440110
231,나노신소재,1601110094162.0,305-81-36339,121600
232,유니드,1101110275069.0,104-81-24846,014830
233,휴온스글로벌,1101110400202.0,129-81-07002,084110
234,케이엠더블유,1348110020579.0,124-81-25403,032500
235,에스피지,1243110031213.0,139-81-11459,058610
236,신대양제지,1301110008789.0,134-81-02858,016590
237,케이씨텍,1346110087565.0,612-81-53314,281820
238,코스모화학,1101110152738.0,105-81-33052,005420
239,삼양사,1101114720945.0,101-86-66838,145990
240,솔루스첨단소재,2149110058927.0,668-81-01406,336370
241,바이넥스,1801110058742.0,603-81-07005,053030
242,동국제강,1101118651633.0,578-86-02878,460860
243,씨아이에스,1101115731032.0,187-86-00067,222080
244,한일홀딩스,1101110040165.0,220-81-03255,003300
245,퍼시스,1101110345630.0,215-81-20534,016800
246,제주반도체,1311110047918.0,129-81-33683,080220
247,인텔리안테크,1101112948086.0,211-87-45307,189300
248,현대무벡스,1101117016870.0,796-87-01173,319400
249,이엔에프테크놀로지,1101111957195.0,211-86-97360,102710
250,JW중외제약,1101110019342.0,118-81-02477,001060
251,PI첨단소재,1543110022729.0,301-81-97858,178920
252,세아홀딩스,1101112276809.0,104-81-63174,058650
253,바이오노트,1348110324294.0,123-81-87177,377740
254,조광피혁,1501110001036.0,315-81-07132,004700
255,아이센스,1101111960924.0,210-81-29428,099190
256,KCC글라스,1101117342473.0,401-87-01412,344820
257,가온칩스,1311110319656.0,144-81-04023,399720
258,테스,1345110064482.0,135-81-57375,095610
259,에코프로에이치엔,1501110307674.0,283-87-02389,383310
260,SFA반도체,1615110027263.0,312-81-30935,036540
